--- Enter port index or full name: Serial started.
INA219 Shunt Resistor (ohms): 0.10
setup() complete

Starting test_current_at_each_r2r_value()

r2r_value,bus_voltage_V,current_mA,shunt_voltage_mV,shunt_adc
234,9.216,2.01,0.2000,3
234,8.852,1.80,0.1800,3
234,9.304,1.89,0.2100,3
234,8.960,2.01,0.2000,3
236,9.192,2.59,0.2600,3
236,8.820,2.50,0.2500,3
236,9.288,2.41,0.2500,3
236,8.600,2.29,0.2300,3
236,9.340,2.29,0.2400,3
236,8.684,2.29,0.2300,3
236,9.324,2.29,0.2300,3
236,8.668,2.41,0.2200,3
236,9.352,2.29,0.2400,3
236,8.848,2.69,0.2500,3
238,9.328,2.90,0.3100,3
238,8.840,2.69,0.2800,3
238,9.336,2.69,0.2700,3
238,8.812,2.81,0.2800,3
238,9.304,2.81,0.3000,3
238,8.896,3.11,0.2700,3
238,9.204,3.20,0.3100,3
238,8.864,3.11,0.3100,3
238,9.264,3.11,0.3100,3
238,8.952,2.90,0.2800,3
240,9.184,3.69,0.3700,3
240,9.004,3.51,0.3700,3
240,8.976,3.69,0.3800,3
240,8.936,3.81,0.3800,3
240,9.060,3.81,0.3700,3
240,9.120,3.69,0.3800,3
240,8.780,3.69,0.3800,3
240,9.048,3.51,0.3500,3
240,8.884,3.69,0.3700,3
240,9.208,3.60,0.3700,3
242,8.688,4.09,0.3800,3
242,9.244,3.91,0.4000,3
242,8.364,4.00,0.4100,3
242,9.204,3.81,0.3800,3
242,8.496,3.91,0.3900,3
242,9.280,4.09,0.4200,3
242,8.460,3.81,0.3800,3
242,9.304,4.21,0.4000,3
242,8.432,3.91,0.3900,3
242,9.296,4.09,0.4100,3
244,8.328,4.79,0.4800,3
244,9.280,4.70,0.4700,3
244,8.652,4.70,0.5000,3
244,9.248,5.10,0.4900,3
244,8.776,4.91,0.4600,3
244,9.272,4.79,0.4800,3
244,8.740,4.79,0.4800,3
244,9.196,4.91,0.4800,3
244,8.868,4.61,0.4700,3
244,9.236,4.91,0.4900,3
246,8.936,5.58,0.5400,3
246,9.168,5.58,0.5600,3
246,8.832,5.58,0.5600,3
246,8.984,5.58,0.5800,3
246,9.032,5.58,0.5300,3
246,8.656,5.40,0.5700,3
246,8.932,5.49,0.5500,3
246,8.832,5.71,0.5700,3
246,9.108,5.71,0.5500,3
246,8.388,5.58,0.5500,3
248,9.120,6.81,0.6900,3
248,7.864,6.59,0.7200,3
248,9.076,6.90,0.6900,3
248,8.076,6.99,0.7000,3
248,9.184,6.90,0.7000,3
248,7.920,6.81,0.6900,3
248,9.156,7.20,0.7200,3
248,7.916,6.81,0.6800,3
248,9.220,6.99,0.6900,3
248,8.196,6.59,0.7000,3
250,9.204,7.60,0.7700,3
250,8.328,7.60,0.7500,3
250,9.196,7.69,0.7700,3
250,8.100,7.39,0.7400,3
250,9.184,7.90,0.7700,3
250,8.468,7.60,0.7400,3
250,9.080,7.69,0.8000,3
250,8.276,7.51,0.7500,3
250,9.140,7.69,0.7700,3
250,8.608,7.60,0.7300,3
252,9.000,9.19,0.9300,3
252,8.564,9.09,0.8900,3
252,8.644,9.00,0.9100,3
252,8.472,9.09,0.9100,3
252,8.820,9.19,0.9200,3
252,8.788,9.40,0.9100,3
252,8.156,9.31,0.9200,3
252,8.692,9.09,0.9100,3
252,8.492,9.40,0.9400,3
252,8.952,9.00,0.9000,3
254,7.740,10.50,1.0600,3
254,8.976,10.50,1.0300,3
254,8.144,10.59,1.0600,3
254,8.904,10.41,1.0400,3
254,7.156,10.41,1.0600,3
254,9.056,10.59,1.0700,3
254,7.532,10.59,1.0600,3
254,9.012,10.50,1.0400,3
254,6.984,10.59,1.0500,3
254,8.964,10.50,1.0500,3
256,8.436,4.70,0.4700,3
256,9.244,5.10,0.4900,3
256,8.328,4.79,0.4900,3
256,9.280,5.00,0.5000,3
256,8.340,5.10,0.5100,3
256,9.280,5.00,0.5100,3
256,8.612,4.70,0.4600,3
256,9.280,4.91,0.4900,3
256,8.616,5.00,0.5000,3
256,9.256,4.70,0.5000,3
258,8.680,4.91,0.4900,3
258,9.184,5.19,0.5000,3
258,8.656,5.10,0.5100,3
258,9.224,5.31,0.5300,3
258,8.800,5.10,0.5300,3
258,9.068,5.10,0.5100,3
258,9.012,5.19,0.4900,3
258,9.132,5.19,0.5200,3
258,8.932,5.10,0.5200,3
258,8.888,5.10,0.5200,3
260,9.016,6.29,0.5600,3
260,8.592,5.89,0.5800,3
260,8.936,6.01,0.6000,3
260,8.740,5.89,0.5900,3
260,9.128,5.71,0.6000,3
260,8.200,5.71,0.5900,3
260,9.220,5.58,0.5600,3
260,8.332,6.01,0.6000,3
260,9.196,6.10,0.6100,3
260,8.124,5.80,0.5600,3
262,9.216,6.90,0.6700,3
262,8.116,6.29,0.6500,3
262,9.192,6.59,0.6600,3
262,8.044,6.71,0.6700,3
262,9.228,6.41,0.6900,3
262,8.324,6.50,0.6400,3
262,9.208,6.71,0.6600,3
262,8.264,6.41,0.6400,3
262,9.224,6.90,0.6900,3
262,8.488,6.71,0.6500,3
264,9.156,7.90,0.7700,3
264,8.536,7.81,0.7500,3
264,8.996,7.90,0.7800,3
264,8.372,7.60,0.7600,3
264,9.068,7.60,0.8000,3
264,8.724,7.90,0.7300,3
264,8.788,7.81,0.8100,3
264,8.584,7.81,0.7800,3
264,8.900,7.69,0.7700,3
264,8.900,7.90,0.7600,3
266,8.636,8.39,0.8600,3
266,8.968,8.48,0.8200,3
266,7.880,8.48,0.8600,3
266,8.884,8.70,0.8700,3
266,8.280,8.70,0.8700,3
266,9.056,8.48,0.8500,3
266,7.560,8.21,0.8700,3
266,9.152,8.48,0.8600,3
266,7.876,8.48,0.8500,3
266,9.116,8.30,0.8300,3
268,7.228,9.40,0.9400,3
268,9.108,9.40,0.9900,3
268,7.584,9.19,0.9500,3
268,9.124,9.61,0.9800,3
268,7.264,9.31,0.9300,3
268,9.128,9.80,0.9800,3
268,7.848,9.61,0.9300,3
268,9.088,9.89,1.0100,3
268,8.140,9.70,0.9500,3
268,9.112,9.89,0.9900,3
270,7.660,10.50,1.0500,3
270,9.024,10.89,1.0900,3
270,7.968,10.71,1.0600,3
270,8.816,10.89,1.0900,3
270,7.876,10.71,1.0700,3
270,8.936,11.11,1.1000,3
270,8.228,10.99,1.0700,3
270,8.588,10.89,1.1000,3
270,8.092,10.71,1.0700,3
270,8.788,11.29,1.1200,3
272,7.988,12.60,1.2400,3
272,8.320,12.70,1.2700,3
272,7.872,12.39,1.2400,3
272,8.556,12.39,1.2400,3
272,8.392,12.70,1.2300,3
272,7.620,12.51,1.2400,3
272,8.252,12.39,1.2400,3
272,8.016,12.39,1.2600,3
272,8.688,12.30,1.2500,3
272,8.292,12.70,1.2700,3
274,8.288,13.00,1.3000,3
274,7.744,13.09,1.3100,3
274,8.668,13.09,1.3100,3
274,6.580,13.09,1.3400,3
274,8.528,13.09,1.3100,3
274,7.176,13.00,1.3000,3
274,8.796,13.18,1.2800,3
274,6.164,12.79,1.2900,3
274,8.700,13.00,1.3000,3
274,6.600,13.09,1.3200,3
276,8.660,14.80,1.4800,3
276,5.504,14.31,1.4700,3
276,8.812,14.89,1.5000,3
276,5.980,14.31,1.4300,3
276,8.764,15.11,1.4600,3
276,5.788,14.19,1.4700,3
276,8.832,14.89,1.5100,3
276,5.732,14.10,1.4100,3
276,8.816,15.11,1.4800,3
276,6.296,14.31,1.4400,3
278,8.720,16.39,1.6300,3
278,6.376,15.50,1.5500,3
278,8.700,15.99,1.6000,3
278,5.800,15.59,1.5800,3
278,8.696,16.39,1.6500,3
278,6.636,15.90,1.5300,3
278,8.716,16.39,1.6400,3
278,6.168,15.81,1.5500,3
278,8.624,16.69,1.6500,3
278,6.896,15.90,1.5900,3
280,8.252,18.59,1.8700,3
280,5.376,17.70,1.7700,3
280,8.368,18.59,1.8800,3
280,6.376,18.01,1.7600,3
280,8.448,18.71,1.8700,3
280,5.900,18.10,1.8100,3
280,8.144,18.40,1.8900,3
280,6.852,18.40,1.8000,3
280,8.312,18.71,1.8700,3
280,6.392,18.01,1.8100,3
282,7.924,19.81,1.9600,3
282,6.652,19.01,1.9000,3
282,7.036,19.90,1.9700,3
282,6.068,19.10,1.9100,3
282,7.544,19.81,1.9900,3
282,7.080,19.50,1.9100,3
282,6.316,19.50,1.9800,3
282,6.520,19.10,1.9100,3
282,6.988,19.68,1.9700,3
282,7.504,19.68,1.9100,3
284,5.652,22.00,2.2200,3
284,7.400,22.09,2.1500,3
284,6.408,22.09,2.2100,3
284,7.060,22.09,2.2100,3
284,3.924,21.79,2.2400,3
284,7.716,22.00,2.1800,3
284,5.152,21.79,2.1800,3
284,7.500,22.09,2.2100,3
284,1.832,21.48,2.2200,3
284,7.900,22.49,2.1700,3
286,0.312,21.61,2.3700,3
286,7.136,23.99,2.4000,3
286,0.612,22.80,2.2800,3
286,7.604,24.11,2.4000,3
286,0.360,19.99,2.3300,3
286,7.440,24.11,2.4100,3
286,0.352,21.79,2.1800,3
286,7.728,23.99,2.4200,3
286,1.280,19.59,2.2600,3
286,7.632,24.38,2.4400,3
288,0.268,22.31,2.2300,3
288,7.480,26.18,2.5600,3
288,0.452,19.41,2.3700,3
288,7.468,26.09,2.6100,3
288,0.396,20.29,2.0300,3
288,7.520,26.49,2.5900,3
288,2.244,22.19,2.0300,3
288,7.528,26.09,2.6100,3
288,2.160,21.91,2.2400,3
288,7.344,26.31,2.6100,3
290,2.452,23.01,1.9700,3
290,7.432,26.70,2.6700,3
290,1.984,22.19,2.2200,3
290,7.204,26.89,2.6800,3
290,3.660,24.90,1.9800,3
290,7.364,26.89,2.6900,3
290,3.252,24.51,2.4500,3
290,6.844,26.89,2.6600,3
290,4.464,25.39,2.1400,3
290,7.156,26.89,2.6900,3
292,1.424,23.99,2.4000,3
292,6.368,29.08,2.9100,3
292,3.572,26.61,2.1500,3
292,4.728,28.69,2.9000,3
292,2.896,26.09,2.6100,3
292,5.760,29.08,2.9100,3
292,4.536,27.59,2.3000,3
292,2.436,28.50,2.8900,3
292,3.960,27.19,2.7200,3
292,4.804,28.69,2.8900,3
294,3.960,28.59,2.8600,3
294,1.800,29.91,3.0700,3
294,5.388,29.79,2.7200,3
294,4.456,30.49,3.0500,3
294,4.696,29.39,2.9400,3
294,0.588,29.39,3.0500,3
294,5.824,30.09,2.9000,3
294,2.576,30.09,3.0100,3
294,5.212,29.79,2.9800,3
294,0.296,28.11,3.0500,3
296,5.092,33.08,2.8000,3
296,0.184,26.70,3.3200,3
296,4.572,32.41,3.2400,3
296,0.224,29.51,2.9500,3
296,5.524,33.51,3.1500,3
296,0.160,22.40,3.1700,3
296,5.176,33.20,3.3200,3
296,0.168,24.81,2.4800,3
296,5.904,33.60,3.3000,3
296,0.172,20.51,2.8700,3
298,5.800,35.00,3.4100,3
298,0.156,24.81,2.4800,3
298,5.612,35.00,3.5000,3
298,0.164,20.78,2.9400,3
298,5.856,34.88,3.4700,3
298,0.192,22.09,2.2100,3
298,5.780,34.79,3.4800,3
298,0.180,20.39,2.5800,3
298,5.808,34.79,3.4700,3
298,0.216,22.31,2.0100,3
300,5.068,37.78,3.8100,3
300,0.156,19.99,2.0000,3
300,5.204,37.78,3.7800,3
300,0.184,22.09,2.0400,3
300,4.776,37.99,3.8000,3
300,0.172,20.90,2.0900,3
300,5.108,37.90,3.7900,3
300,0.204,23.19,1.9600,3
300,3.808,37.90,3.8000,3
300,0.196,22.71,2.2700,3
302,1.056,40.50,4.0500,3
302,0.184,23.01,2.3000,3
302,2.860,40.19,4.0500,3
302,0.256,26.79,2.2400,3
302,0.460,38.70,4.0100,3
302,0.200,24.69,2.4700,3
302,1.216,39.79,3.9800,3
302,0.332,28.50,2.3700,3
302,0.292,37.20,4.0100,3
302,0.236,25.91,2.5900,3
304,0.560,42.48,4.2500,3
304,0.260,28.69,2.8700,3
304,0.236,37.20,4.3400,3
304,0.904,34.21,2.6300,3
304,0.292,39.58,3.9600,3
304,0.440,32.20,2.6100,3
304,0.164,31.40,4.2100,3
304,2.928,40.01,2.9100,3
304,0.196,34.39,3.4400,3
304,2.008,37.11,2.8500,3
306,0.148,30.18,4.1800,3
306,2.668,40.50,3.0000,3
306,0.104,22.40,3.4100,3
306,1.500,37.29,3.7300,3
306,0.120,26.49,3.8400,3
306,3.488,43.58,3.2700,3
306,0.108,20.29,3.0100,3
306,2.836,41.20,4.1200,3
306,0.112,23.01,3.4300,3
306,3.824,44.40,3.6100,3
308,0.100,20.11,3.0500,3
308,2.548,46.91,4.0100,3
308,0.104,23.10,2.3100,3
308,2.436,46.20,4.6200,3
308,0.112,19.41,2.5500,3
308,2.016,47.30,4.4000,3
308,0.108,20.69,2.0700,3
308,2.476,47.00,4.7000,3
308,0.124,20.90,2.2200,3
308,1.168,47.30,4.6500,3
310,0.136,23.19,2.0700,3
310,1.044,47.30,4.7300,3
310,0.120,20.51,2.0500,3
310,0.660,48.40,4.5900,3
310,0.148,24.51,2.0500,3
310,0.356,45.90,4.8100,3
310,0.132,22.31,2.2300,3
310,0.476,47.39,4.7600,3
310,0.168,26.00,2.1400,3
310,0.280,43.49,4.8200,3
312,0.160,26.79,2.2000,3
312,0.356,47.70,4.7700,3
312,0.152,26.09,2.6100,3
312,0.236,43.30,4.8500,3
312,0.196,29.39,2.3800,3
312,0.280,45.59,4.5600,3
312,0.180,28.20,2.3500,3
312,0.180,38.60,4.7400,3
312,0.252,33.39,2.5900,3
312,0.216,41.60,4.1600,3
314,0.176,28.69,2.8700,3
314,0.172,37.99,4.7600,3
314,0.240,33.20,2.5900,3
314,0.108,29.30,4.1900,3
314,0.208,31.01,3.1000,3
314,0.136,34.00,3.4000,3
314,0.280,36.99,2.7500,3
314,0.088,25.48,3.7900,3
314,0.244,33.91,3.3900,3
314,0.112,29.69,2.9700,3
316,0.244,36.59,3.6600,3
316,0.084,25.21,3.7700,3
316,0.316,43.79,3.4200,3
316,0.104,29.51,2.9500,3
316,0.284,40.89,4.0900,3
316,0.076,21.70,3.2800,3
316,0.332,46.51,3.8200,3
316,0.088,24.90,2.4900,3
316,0.316,44.28,4.4300,3
316,0.084,19.68,2.7800,3
318,0.296,46.51,3.8600,3
318,0.092,20.69,2.4500,3
318,0.288,44.28,4.4300,3
318,0.080,19.50,1.9500,3
318,0.300,48.28,4.2400,3
318,0.104,22.40,2.1600,3
318,0.300,46.91,4.6900,3
318,0.092,20.20,2.0200,3
318,0.284,48.89,4.4900,3
318,0.116,24.38,2.0500,3
320,0.256,48.28,4.7000,3
320,0.092,20.39,2.0400,3
320,0.272,48.58,4.6100,3
320,0.120,24.99,2.0300,3
320,0.284,48.40,4.8400,3
320,0.104,23.19,2.3200,3
320,0.224,46.39,4.8400,3
320,0.140,27.80,2.3100,3
320,0.248,47.70,4.7700,3
320,0.124,26.00,2.1100,3
322,0.204,44.71,4.8500,3
322,0.152,28.69,2.3900,3
322,0.236,46.91,4.6900,3
322,0.128,26.18,2.6200,3
322,0.168,41.11,4.8300,3
322,0.180,31.49,2.5700,3
322,0.196,44.49,4.4500,3
322,0.152,28.29,2.8300,3
322,0.132,36.19,4.6800,3
322,0.216,35.31,2.7600,3
324,0.104,32.10,4.3900,3
324,0.144,28.90,2.8900,3
324,0.120,35.80,3.5800,3
324,0.204,35.89,2.7700,3
324,0.084,27.28,4.0000,3
324,0.176,32.29,3.2300,3
324,0.096,30.88,3.0900,3
324,0.228,39.89,2.9900,3
324,0.072,23.28,3.5000,3
324,0.204,36.19,3.6200,3
326,0.092,30.40,3.0400,3
326,0.220,39.89,3.9900,3
326,0.072,23.50,3.5300,3
326,0.248,45.50,3.5700,3
326,0.080,26.61,2.6600,3
326,0.236,42.69,4.2700,3
326,0.076,21.61,3.1800,3
326,0.256,47.00,3.8900,3
326,0.084,19.99,2.3800,3
326,0.248,44.98,4.5000,3
328,0.068,22.00,2.2000,3
328,0.236,46.91,3.8100,3
328,0.076,19.90,2.3700,3
328,0.228,48.71,4.5000,3
328,0.076,20.39,2.0400,3
328,0.232,48.40,4.2500,3
328,0.088,22.19,2.0500,3
328,0.208,48.00,4.7300,3
328,0.084,21.48,2.1500,3
328,0.224,48.58,4.5700,3
330,0.084,22.31,2.0000,3
330,0.204,47.88,4.7800,3
330,0.108,26.18,2.1400,3
330,0.216,48.71,4.8700,3
330,0.096,23.90,2.3900,3
330,0.184,46.30,4.8600,3
330,0.120,27.71,2.3200,3
330,0.204,48.19,4.8200,3
330,0.104,25.09,2.5100,3
330,0.160,43.70,4.8400,3
332,0.116,27.71,2.3200,3
332,0.128,40.28,4.8200,3
332,0.144,31.98,2.5100,3
332,0.148,43.40,4.3400,3
332,0.132,30.18,2.4700,3
332,0.108,35.49,4.6200,3
332,0.164,35.89,2.6900,3
332,0.120,39.58,3.9600,3
332,0.148,33.20,2.6200,3
332,0.088,31.10,4.3300,3
334,0.156,35.49,2.6900,3
334,0.068,27.50,4.0100,3
334,0.140,32.29,3.2300,3
334,0.088,32.41,3.2400,3
334,0.176,38.39,2.8500,3
334,0.064,24.11,3.6500,3
334,0.200,35.00,3.5000,3
334,0.076,28.69,2.8700,3
334,0.188,41.50,3.0900,3
334,0.060,21.48,3.2600,3
336,0.188,44.28,3.4300,3
336,0.064,20.51,2.9300,3
336,0.176,41.29,4.1300,3
336,0.052,21.39,3.2300,3
336,0.192,47.09,3.8800,3
336,0.072,24.20,2.4200,3
336,0.188,44.98,4.5000,3
336,0.064,19.68,2.6900,3
336,0.192,48.58,4.3100,3
336,0.056,21.21,2.1200,3
338,0.188,45.59,4.5600,3
338,0.064,19.68,1.9700,3
338,0.192,48.40,4.2900,3
338,0.076,23.19,2.1400,3
338,0.176,48.28,4.6900,3
338,0.068,20.29,2.0300,3
338,0.188,48.58,4.5000,3
338,0.084,23.90,2.0300,3
338,0.164,46.91,4.8100,3
338,0.072,21.70,2.1700,3
340,0.180,48.89,4.8900,3
340,0.080,23.68,2.3700,3
340,0.160,47.49,4.7800,3
340,0.088,25.79,2.1200,3
340,0.124,48.49,4.8500,3
340,0.088,25.09,2.5100,3
340,0.140,45.59,4.8800,3
340,0.104,27.59,2.2900,3
340,0.104,38.70,4.7800,3
340,0.096,26.49,2.6500,3
342,0.144,45.81,4.5800,3
342,0.096,27.01,2.7000,3
342,0.108,39.40,4.8100,3
342,0.124,32.50,2.6000,3
342,0.076,43.70,4.3700,3
342,0.104,28.38,2.8400,3
342,0.096,36.50,4.6900,3
342,0.140,35.19,2.7300,3
342,0.068,28.69,4.1100,3
342,0.120,30.79,3.0800,3
344,0.092,37.78,3.7800,3
344,0.132,34.21,3.4200,3
