--- Enter port index or full name: Serial started.
INA219 Shunt Resistor (ohms): 0.10
setup() complete

Starting test_current_at_each_r2r_value()

r2r_value,bus_voltage_V,current_mA,shunt_voltage_mV,shunt_adc
202,9.412,-0.40,655.2800,3
202,9.056,-0.70,655.2900,3
202,9.376,-0.70,655.2900,3
202,8.924,-0.31,655.2900,3
202,9.428,-0.70,655.2700,3
202,8.988,-0.49,655.3100,3
204,9.356,-0.31,655.3300,3
204,8.936,-0.49,655.3200,3
204,9.416,-0.40,655.3200,3
204,9.008,-0.40,655.3200,3
204,9.392,-0.49,655.3300,3
204,8.908,-0.49,655.3200,3
204,9.344,-0.49,655.3100,3
204,8.940,-0.31,655.3300,3
204,9.416,-0.49,655.2800,3
204,8.916,-0.09,655.2900,3
206,9.428,-0.49,655.3100,3
206,8.960,-0.31,655.3300,3
206,9.404,-0.31,655.3500,3
206,8.904,-0.49,655.2900,3
206,9.360,-0.40,655.3200,3
206,8.904,-0.40,655.3000,3
206,9.424,-0.70,655.3300,3
206,9.004,-0.40,655.3200,3
206,9.388,-0.21,655.3400,3
206,8.876,-0.31,655.3200,3
208,9.412,-0.49,655.3200,3
208,8.912,-0.31,655.3300,3
208,9.380,-0.31,655.3300,3
208,8.872,-0.40,655.3500,3
208,9.432,-0.40,655.3200,3
208,8.932,-0.61,655.3000,3
208,9.416,-0.21,655.3200,3
208,8.896,-0.70,655.2900,3
208,9.392,-0.70,655.2900,3
208,8.892,-0.61,655.3200,3
210,9.412,-0.49,655.3200,3
210,8.888,-0.31,655.3300,3
210,9.384,-0.70,655.2900,3
210,8.892,-0.49,655.3400,3
210,9.428,-0.21,655.2900,3
210,8.940,-0.49,655.3100,3
210,9.404,-0.40,655.3300,3
210,8.896,-0.40,655.3300,3
210,9.360,-0.21,655.3400,3
210,8.892,-0.70,655.2900,3
212,9.392,-0.61,655.3000,3
212,8.884,-0.21,655.3100,3
212,9.428,-0.21,655.3500,3
212,8.908,-0.21,655.3400,3
212,9.408,-0.40,655.3400,3
212,8.904,-0.40,655.3300,3
212,9.368,-0.61,655.3000,3
212,8.868,-0.40,655.3300,3
212,9.420,-0.21,0.0000,3
212,8.936,-0.40,655.3400,3
214,9.424,-0.21,655.3300,3
214,8.888,-0.21,655.3400,3
214,9.408,-0.40,655.3500,3
214,8.900,0.09,0.0000,3
214,9.428,-0.09,0.0000,3
214,8.864,0.09,0.0100,3
214,9.416,-0.09,655.3500,3
214,8.924,-0.21,655.3300,3
214,9.432,-0.31,655.3400,3
214,8.856,-0.40,655.3200,3
216,9.400,-0.21,655.3400,3
216,8.888,0.00,655.3500,3
216,9.424,0.00,655.3400,3
216,8.840,-0.31,655.3300,3
216,9.416,0.00,0.0000,3
216,8.940,-0.21,0.0200,3
216,9.420,-0.21,655.3500,3
216,8.864,0.00,0.0000,3
216,9.420,-0.21,655.3400,3
216,8.984,0.00,655.3500,3
218,9.416,0.09,0.0000,3
218,8.988,0.21,0.0000,3
218,9.384,-0.09,0.0000,3
218,9.076,-0.09,0.0000,3
218,9.408,0.00,0.0000,3
218,9.008,-0.21,655.3400,3
218,9.356,0.09,0.0100,3
218,9.100,-0.09,0.0100,3
218,9.252,-0.09,655.3400,3
218,9.040,0.00,0.0000,3
220,9.184,0.21,0.0200,3
220,9.076,0.00,0.0000,3
220,9.268,0.21,0.0200,3
220,9.164,0.21,0.0200,3
220,9.108,0.31,0.0200,3
220,9.288,0.09,0.0300,3
220,8.940,0.21,0.0200,3
220,9.216,0.40,0.0400,3
220,9.036,0.09,0.0100,3
220,9.324,0.09,0.0000,3
222,8.956,0.40,0.0500,3
222,9.344,0.40,0.0400,3
222,8.800,0.31,0.0400,3
222,9.392,0.49,0.0500,3
222,8.888,0.40,0.0400,3
222,9.368,0.40,0.0400,3
222,8.808,0.21,0.0500,3
222,9.404,0.21,0.0400,3
222,8.936,0.31,0.0500,3
222,9.392,0.40,0.0400,3
224,8.788,0.89,0.0900,3
224,9.396,0.31,0.0300,3
224,8.928,0.49,0.0500,3
224,9.384,0.40,0.0400,3
224,8.996,0.79,0.0500,3
224,9.396,0.49,0.0500,3
224,8.976,0.49,0.0400,3
224,9.344,0.70,0.0400,3
224,9.052,0.70,0.0300,3
224,9.376,0.70,0.0700,3
226,9.120,0.61,0.0600,3
226,9.340,0.89,0.0900,3
226,9.044,0.40,0.0400,3
226,9.232,0.49,0.0600,3
226,9.168,0.70,0.0400,3
226,9.076,0.70,0.0800,3
226,9.092,0.61,0.0600,3
226,9.172,0.79,0.0800,3
226,9.216,0.89,0.0800,3
226,8.996,0.70,0.0500,3
228,9.248,1.01,0.0900,3
228,8.888,0.79,0.0800,3
228,9.336,0.79,0.0600,3
228,9.012,0.89,0.0900,3
228,9.288,0.61,0.0600,3
228,8.804,0.79,0.0900,3
228,9.360,1.01,0.1000,3
228,8.804,1.01,0.1200,3
228,9.324,1.01,0.1000,3
228,8.756,0.79,0.0800,3
230,9.340,1.19,0.1200,3
230,8.772,1.50,0.1500,3
230,9.376,1.40,0.1100,3
230,8.852,1.31,0.1100,3
230,9.372,1.01,0.1300,3
230,8.800,1.19,0.1200,3
230,9.380,1.40,0.1400,3
230,8.880,1.40,0.1000,3
230,9.356,1.01,0.1100,3
230,8.980,1.10,0.1000,3
232,9.324,1.71,0.1800,3
232,8.976,1.59,0.1600,3
232,9.352,1.40,0.1400,3
232,8.944,1.89,0.1900,3
232,9.288,1.50,0.1500,3
232,9.024,1.80,0.1400,3
232,9.160,1.59,0.1600,3
232,8.984,1.50,0.1500,3
232,9.232,1.59,0.1600,3
232,9.080,1.59,0.1900,3
234,9.168,2.01,0.1900,3
234,9.132,1.80,0.1800,3
234,9.000,2.01,0.1600,3
234,9.044,2.11,0.2100,3
234,9.116,2.11,0.2100,3
234,9.168,2.01,0.1700,3
234,8.932,1.89,0.2000,3
234,9.268,2.01,0.1800,3
234,9.056,1.80,0.1800,3
234,9.212,2.11,0.2100,3
236,8.956,2.41,0.2400,3
236,9.228,2.50,0.2500,3
236,8.696,2.41,0.2200,3
236,9.308,2.50,0.2500,3
236,8.660,2.59,0.2300,3
236,9.264,2.41,0.2400,3
236,8.612,2.50,0.2500,3
236,9.328,2.59,0.2500,3
236,8.724,2.41,0.2400,3
236,9.340,2.50,0.2400,3
238,8.708,3.11,0.2700,3
238,9.304,2.69,0.2700,3
238,8.640,3.30,0.3300,3
238,9.328,2.99,0.2900,3
238,8.760,3.11,0.3200,3
238,9.308,2.90,0.2900,3
238,8.712,3.11,0.3100,3
238,9.324,2.81,0.2800,3
238,8.808,2.99,0.3000,3
238,9.284,2.81,0.3000,3
240,8.828,3.69,0.3300,3
240,9.212,3.51,0.3600,3
240,8.944,3.60,0.3600,3
240,9.260,3.69,0.3700,3
240,8.900,3.69,0.3600,3
240,9.124,3.69,0.3800,3
240,9.036,3.81,0.3500,3
240,9.192,3.81,0.3800,3
240,8.980,3.60,0.3800,3
240,9.012,3.81,0.3600,3
242,9.032,4.00,0.3900,3
242,8.884,3.91,0.4000,3
242,9.172,4.21,0.3900,3
242,9.028,4.00,0.4000,3
242,9.088,4.09,0.4100,3
242,8.768,3.81,0.4000,3
242,9.212,4.21,0.4300,3
242,8.460,4.09,0.4100,3
242,9.140,3.81,0.3800,3
242,8.612,4.09,0.4100,3
244,9.164,4.70,0.4700,3
244,8.372,4.61,0.5000,3
244,9.240,4.70,0.5100,3
244,8.292,5.00,0.4800,3
244,9.208,5.00,0.5000,3
244,8.276,4.91,0.4900,3
244,9.264,5.00,0.4900,3
244,8.436,4.79,0.5000,3
244,9.272,4.91,0.4800,3
244,8.344,5.00,0.5000,3
246,9.240,5.40,0.5400,3
246,8.292,5.49,0.5500,3
246,9.252,5.40,0.5600,3
246,8.600,5.71,0.5300,3
246,9.212,5.58,0.5800,3
246,8.732,5.58,0.5600,3
246,9.244,5.71,0.5700,3
246,8.672,5.40,0.5400,3
246,9.168,5.49,0.5800,3
246,8.800,5.58,0.5600,3
248,9.056,7.11,0.7100,3
248,8.828,7.11,0.6900,3
248,9.128,6.99,0.7000,3
248,8.700,6.81,0.6900,3
248,8.932,6.90,0.7100,3
248,8.944,7.20,0.6800,3
