r	V(n001)	Ix(x1:NEG)	Ix(x1:POS)
7.610000000000000e+02	2.187523e+00	2.874515e-03	-2.874537e-03
7.710000000000000e+02	2.187550e+00	2.837267e-03	-2.837290e-03
7.810000000000000e+02	2.187577e+00	2.800973e-03	-2.800995e-03
7.910000000000000e+02	2.187603e+00	2.765596e-03	-2.765617e-03
8.010000000000000e+02	2.187629e+00	2.731101e-03	-2.731122e-03
8.110000000000000e+02	2.187654e+00	2.697456e-03	-2.697477e-03
8.210000000000000e+02	2.187678e+00	2.664631e-03	-2.664650e-03
8.310000000000000e+02	2.187701e+00	2.632594e-03	-2.632613e-03
8.410000000000000e+02	2.187724e+00	2.601318e-03	-2.601337e-03
8.510000000000000e+02	2.187747e+00	2.570777e-03	-2.570796e-03
8.610000000000000e+02	2.187769e+00	2.540945e-03	-2.540963e-03
8.710000000000000e+02	2.187790e+00	2.511797e-03	-2.511814e-03
8.810000000000000e+02	2.187811e+00	2.483310e-03	-2.483327e-03
8.910000000000000e+02	2.187832e+00	2.455462e-03	-2.455479e-03
9.010000000000000e+02	2.187852e+00	2.428232e-03	-2.428249e-03
9.110000000000000e+02	2.187872e+00	2.401599e-03	-2.401615e-03
9.210000000000000e+02	2.187891e+00	2.375544e-03	-2.375560e-03
9.310000000000000e+02	2.187910e+00	2.350048e-03	-2.350064e-03
9.410000000000000e+02	2.187928e+00	2.325094e-03	-2.325109e-03
9.510000000000000e+02	2.187946e+00	2.300664e-03	-2.300679e-03
9.610000000000000e+02	2.187964e+00	2.276742e-03	-2.276757e-03
9.710000000000000e+02	2.187981e+00	2.253313e-03	-2.253327e-03
9.810000000000000e+02	2.187998e+00	2.230361e-03	-2.230375e-03
9.910000000000000e+02	2.188014e+00	2.207871e-03	-2.207885e-03
1.000000000000000e+03	2.188029e+00	2.188015e-03	-2.188029e-03
