time	V(tianoninv)	I(Rf)	Ix(U2:OUT)
8.175584655255079e-01	6.347575e+00	1.269516e-03	-1.812696e-01
8.370897155255079e-01	6.312436e+00	1.262488e-03	-1.812625e-01
8.566209655255079e-01	6.277370e+00	1.255475e-03	-1.812555e-01
8.761522155255079e-01	6.242378e+00	1.248476e-03	-1.812485e-01
8.956834655255079e-01	6.207459e+00	1.241492e-03	-1.812415e-01
9.054490905255079e-01	6.190026e+00	1.238006e-03	-1.812380e-01
9.152147155255079e-01	6.172612e+00	1.234523e-03	-1.812346e-01
9.445115905255079e-01	6.120476e+00	1.224096e-03	-1.812241e-01
9.542772155255079e-01	6.103133e+00	1.220627e-03	-1.812207e-01
9.640428405255079e-01	6.085807e+00	1.217162e-03	-1.812172e-01
9.738084655255079e-01	6.068500e+00	1.213701e-03	-1.812137e-01
9.835740905255079e-01	6.051209e+00	1.210243e-03	-1.812103e-01
9.933397155255079e-01	6.033937e+00	1.206788e-03	-1.812068e-01
1.003105340525508e+00	6.016683e+00	1.203337e-03	-1.812034e-01
1.012870965525508e+00	5.999445e+00	1.199889e-03	-1.811999e-01
1.022636590525508e+00	5.982225e+00	1.196445e-03	-1.811965e-01
1.032402215525508e+00	5.965022e+00	1.193005e-03	-1.811930e-01
1.051933465525508e+00	5.930668e+00	1.186134e-03	-1.811862e-01
1.090995965525508e+00	5.862166e+00	1.172434e-03	-1.811725e-01
1.110527215525508e+00	5.828018e+00	1.165604e-03	-1.811656e-01
1.130058465525508e+00	5.793936e+00	1.158788e-03	-1.811588e-01
1.149589715525508e+00	5.759922e+00	1.151985e-03	-1.811520e-01
1.159355340525508e+00	5.742939e+00	1.148588e-03	-1.811486e-01
1.178886590525508e+00	5.709024e+00	1.141805e-03	-1.811418e-01
1.188652215525508e+00	5.692092e+00	1.138419e-03	-1.811385e-01
1.198417840525508e+00	5.675176e+00	1.135036e-03	-1.811351e-01
1.208183465525508e+00	5.658276e+00	1.131656e-03	-1.811317e-01
1.216554001239794e+00	5.643803e+00	1.128761e-03	-1.811288e-01
1.224924536954079e+00	5.629343e+00	1.125869e-03	-1.811259e-01
1.233295072668365e+00	5.614894e+00	1.122979e-03	-1.811230e-01
1.241665608382651e+00	5.600457e+00	1.120092e-03	-1.811201e-01
1.250036144096937e+00	5.586032e+00	1.117207e-03	-1.811172e-01
1.258406679811222e+00	5.571620e+00	1.114324e-03	-1.811143e-01
1.266777215525508e+00	5.557219e+00	1.111444e-03	-1.811115e-01
1.296074090525508e+00	5.506907e+00	1.101382e-03	-1.811014e-01
1.305839715525508e+00	5.490169e+00	1.098034e-03	-1.810981e-01
1.344902215525508e+00	5.423372e+00	1.084675e-03	-1.810847e-01
1.354667840525508e+00	5.406712e+00	1.081343e-03	-1.810814e-01
1.364433465525508e+00	5.390068e+00	1.078014e-03	-1.810780e-01
1.374199090525508e+00	5.373439e+00	1.074688e-03	-1.810747e-01
1.403495965525508e+00	5.323647e+00	1.064730e-03	-1.810648e-01
1.423027215525508e+00	5.290528e+00	1.058106e-03	-1.810581e-01
1.442558465525508e+00	5.257471e+00	1.051495e-03	-1.810515e-01
1.452324090525508e+00	5.240965e+00	1.048193e-03	-1.810482e-01
1.462089715525508e+00	5.224475e+00	1.044895e-03	-1.810449e-01
1.471855340525508e+00	5.207999e+00	1.041600e-03	-1.810416e-01
1.501152215525508e+00	5.158663e+00	1.031733e-03	-1.810318e-01
1.510917840525508e+00	5.142248e+00	1.028450e-03	-1.810285e-01
1.520683465525508e+00	5.125847e+00	1.025170e-03	-1.810252e-01
1.549980340525508e+00	5.076735e+00	1.015347e-03	-1.810154e-01
1.579277215525508e+00	5.027755e+00	1.005551e-03	-1.810056e-01
1.589042840525508e+00	5.011458e+00	1.002292e-03	-1.810023e-01
1.598808465525508e+00	4.995175e+00	9.990354e-04	-1.809991e-01
1.608574090525508e+00	4.978907e+00	9.957817e-04	-1.809958e-01
1.618339715525508e+00	4.962653e+00	9.925310e-04	-1.809926e-01
1.628105340525508e+00	4.946414e+00	9.892831e-04	-1.809893e-01
1.637870965525508e+00	4.930189e+00	9.860381e-04	-1.809861e-01
1.657402215525508e+00	4.897782e+00	9.795568e-04	-1.809796e-01
1.686699090525508e+00	4.849279e+00	9.698562e-04	-1.809699e-01
1.696464715525508e+00	4.833139e+00	9.666283e-04	-1.809666e-01
1.715995965525508e+00	4.800903e+00	9.601810e-04	-1.809602e-01
1.735527215525508e+00	4.768723e+00	9.537450e-04	-1.809538e-01
1.755058465525508e+00	4.736598e+00	9.473201e-04	-1.809473e-01
1.774589715525508e+00	4.704530e+00	9.409063e-04	-1.809409e-01
1.784355340525508e+00	4.688516e+00	9.377036e-04	-1.809377e-01
1.794120965525508e+00	4.672516e+00	9.345037e-04	-1.809345e-01
1.813652215525508e+00	4.640558e+00	9.281120e-04	-1.809281e-01
1.833183465525508e+00	4.608654e+00	9.217312e-04	-1.809218e-01
