time	V(tianoninv)	I(R4)
6.979747805718391e+00	4.364151e+00	3.497658e+00
7.375295331717568e+00	3.737376e+00	2.876177e+00
7.770842857716746e+00	3.136729e+00	2.281315e+00
7.957784822002460e+00	2.855979e+00	2.002921e+00
8.144726786288174e+00	2.578621e+00	1.729247e+00
8.331668750573888e+00	2.304655e+00	1.460293e+00
8.518610714859603e+00	2.034081e+00	1.196058e+00
8.705552679145317e+00	1.766900e+00	9.365427e-01
8.892494643431032e+00	1.503111e+00	6.817468e-01
9.079436607716746e+00	1.242714e+00	4.316702e-01
9.103153125573888e+00	1.209851e+00	4.007252e-01
9.126869643431032e+00	1.177034e+00	3.700667e-01
9.150586161288174e+00	1.144264e+00	3.396948e-01
9.174302679145317e+00	1.111542e+00	3.096095e-01
9.198019197002459e+00	1.078866e+00	2.798108e-01
9.221735714859603e+00	1.046236e+00	2.502986e-01
9.245452232716746e+00	1.013654e+00	2.210730e-01
9.274749107716746e+00	9.734679e-01	1.858316e-01
9.294280357716746e+00	9.467162e-01	1.628932e-01
9.313811607716746e+00	9.199954e-01	1.405249e-01
9.333342857716746e+00	8.933054e-01	1.188825e-01
9.352874107716746e+00	8.666461e-01	9.819026e-02
9.362639732716746e+00	8.533279e-01	8.829990e-02
9.372405357716746e+00	8.400174e-01	7.877704e-02
9.382170982716746e+00	8.267146e-01	6.969707e-02
9.391936607716746e+00	8.134193e-01	6.112785e-02
9.401702232716746e+00	8.001316e-01	5.319118e-02
9.411467857716746e+00	7.868515e-01	4.595946e-02
9.421233482716746e+00	7.735790e-01	3.954606e-02
9.430999107716746e+00	7.603140e-01	3.404245e-02
9.440764732716746e+00	7.470566e-01	2.951671e-02
9.450530357716746e+00	7.338066e-01	2.596957e-02
9.460295982716746e+00	7.205642e-01	2.331818e-02
9.470061607716746e+00	7.073293e-01	2.145137e-02
9.479827232716746e+00	6.941019e-01	2.017181e-02
9.489592857716746e+00	6.808820e-01	1.934658e-02
9.499358482716746e+00	6.676695e-01	1.882207e-02
9.509124107716746e+00	6.544645e-01	1.850257e-02
9.518889732716746e+00	6.412668e-01	1.830266e-02
9.528655357716746e+00	6.280767e-01	1.818361e-02
9.538420982716746e+00	6.148939e-01	1.811004e-02
9.548186607716746e+00	6.017184e-01	1.806659e-02
9.557952232716746e+00	5.885504e-01	1.803985e-02
9.567717857716746e+00	5.753897e-01	1.802410e-02
9.577483482716746e+00	5.622364e-01	1.801442e-02
9.587249107716746e+00	5.490904e-01	1.800872e-02
9.597014732716746e+00	5.359518e-01	1.800522e-02
9.606780357716746e+00	5.228205e-01	1.800316e-02
9.616545982716746e+00	5.096964e-01	1.800189e-02
9.626311607716746e+00	4.965797e-01	1.800115e-02
9.636077232716746e+00	4.834702e-01	1.800069e-02
9.645842857716746e+00	4.703679e-01	1.800042e-02
9.655608482716746e+00	4.572729e-01	1.800025e-02
